title,body,rating,review,sentiment,clean_review,char_count,word_count,sentence_count,avg_word_length,unique_word_count,stopword_count,exclamation_count,question_count,uppercase_word_count,vader_score,emoji_list,emoji_count,noun_count,verb_count,adj_count
Horrible product,Very disappointed with the overall performance from Samsung,1,Horrible product Very disappointed with the overall performance from Samsung,negative,horribl product disappoint overal perform samsung,76,10,0,6.7,10,4,0,0,0,-0.7841,[],0,2,0,3
Camera quality is not like 48 megapixel,Camera quality is low,3,Camera quality is not like 48 megapixel Camera quality is low,neutral,camera qualiti like megapixel camera qualiti low,61,11,0,4.636363636363637,8,3,0,0,0,-0.4956,[],0,4,0,1
Overall,"Got the mobile on the launch date,Battery must be appreciatedCamera is just averageMobile performance is above average90hz refresh rate? If u r buying the mobile for this feature then I'm afraid u may get disappointed, it's just normal.The USB cable is too small in lengthIt's a good mobile in this budget, there are no returns for this,  only replacement is available, hence choose wisely before buying",4,"Overall Got the mobile on the launch date,Battery must be appreciatedCamera is just averageMobile performance is above average90hz refresh rate? If u r buying the mobile for this feature then I'm afraid u may get disappointed, it's just normal.The USB cable is too small in lengthIt's a good mobile in this budget, there are no returns for this,  only replacement is available, hence choose wisely before buying",positive,overal got mobil launch date batteri must appreciatedcamera averagemobil perform averag hz refresh rate u r buy mobil featur afraid u may get disappoint normal usb cabl small lengthit good mobil budget return replac avail henc choos wise buy,411,67,2,5.134328358208955,54,29,0,1,1,0.1027,[],0,16,7,7
A big no from me,"1. It doesn't work with 5.0GHz WiFi frequency. 2.4GHz is very old school.2. Camera quality is pathetic (both front and back). Forget about 48MP, pictures are all blur, poorer than a 4MP one.3. Amazon didn't allow to write a review until they sold most of the stock, something very fishy.4. No return policy, you will have to live with the phone you didn't like. Now you decide.",1,"A big no from me 1. It doesn't work with 5.0GHz WiFi frequency. 2.4GHz is very old school.2. Camera quality is pathetic (both front and back). Forget about 48MP, pictures are all blur, poorer than a 4MP one.3. Amazon didn't allow to write a review until they sold most of the stock, something very fishy.4. No return policy, you will have to live with the phone you didn't like. Now you decide.",negative,big work ghz wifi frequenc ghz old school camera qualiti pathet front back forget mp pictur blur poorer mp one amazon allow write review sold stock someth fishi return polici live phone like decid,394,72,13,4.486111111111111,63,36,0,0,3,-0.9162,[],0,12,9,8
Put your money somewhere else,"Not worth buying....faulty software, poor display quality, single band wifi doesn't support  5ghz WIFI band. Gyro sensor missing and many more. DONT GO BY PAID REVIEWS IN YOU TUBE",1,"Put your money somewhere else Not worth buying....faulty software, poor display quality, single band wifi doesn't support  5ghz WIFI band. Gyro sensor missing and many more. DONT GO BY PAID REVIEWS IN YOU TUBE",negative,put money somewher els worth buy faulti softwar poor display qualiti singl band wifi support ghz wifi band gyro sensor miss mani dont go paid review tube,209,34,3,5.147058823529412,34,7,0,0,9,-0.8033,[],0,11,4,6
Too much lagging and slow,I will never purchase Samsung phones. Phone is lagging too much and slow. Waste of hard earning money.,1,Too much lagging and slow I will never purchase Samsung phones. Phone is lagging too much and slow. Waste of hard earning money.,negative,much lag slow never purchas samsung phone phone lag much slow wast hard earn money,128,23,3,4.608695652173913,20,8,0,0,1,-0.7506,[],0,3,5,2
Worst samsung mobile ever,This is worst samsung mobile I have seen from samsung. It's sceen quality and colors are trash. Even a old 5000 rs phone can beat it's quality. Please never ever buy this product.,1,Worst samsung mobile ever This is worst samsung mobile I have seen from samsung. It's sceen quality and colors are trash. Even a old 5000 rs phone can beat it's quality. Please never ever buy this product.,negative,worst samsung mobil ever worst samsung mobil seen samsung sceen qualiti color trash even old rs phone beat qualiti pleas never ever buy product,205,37,4,4.5675675675675675,34,12,0,0,1,-0.7845,[],0,8,4,5
कैसा दिखाते है उसका 10 % भी नही,मोबाइल का कैमरा बिल्कुल भी सही नही है 48 PM बताया और क्लियरिटी 5 मेगा पिक्सल का भी नही है ।मोबाइल भी पुराना सा दिखता है ।इसको नही खरीदे,1,कैसा दिखाते है उसका 10 % भी नही मोबाइल का कैमरा बिल्कुल भी सही नही है 48 PM बताया और क्लियरिटी 5 मेगा पिक्सल का भी नही है ।मोबाइल भी पुराना सा दिखता है ।इसको नही खरीदे,negative,pm,167,37,0,3.5405405405405403,27,0,0,0,1,0.0,[],0,6,0,0
Slow performance,The phone hangs a lot and is very slow. I received a replacement which continues to hang,1,Slow performance The phone hangs a lot and is very slow. I received a replacement which continues to hang,negative,slow perform phone hang lot slow receiv replac continu hang,105,19,1,4.578947368421052,18,9,0,0,1,0.0,[],0,4,4,2
Don’t buy from Amazon.,Very poor quality camera .Found box seal damage still Amazon not taking it back.waste of money.Phone very slow.Don’t buy from Amazon.Now Amazon started cheating customers to make profits.,1,Don’t buy from Amazon. Very poor quality camera .Found box seal damage still Amazon not taking it back.waste of money.Phone very slow.Don’t buy from Amazon.Now Amazon started cheating customers to make profits.,negative,buy amazon poor qualiti camera found box seal damag still amazon take back wast money phone slow buy amazon amazon start cheat custom make profit,210,32,7,5.59375,29,8,0,0,0,-0.6361,[],0,11,5,2
Worst camera quality,"Worst camera quality. It is like 2 megapixel camera. Photos are very worst. If you slightly zoom the photo,  you can see blurry...Previously I used 13 megapixel amera phone. Those photos are very good.",1,"Worst camera quality Worst camera quality. It is like 2 megapixel camera. Photos are very worst. If you slightly zoom the photo,  you can see blurry...Previously I used 13 megapixel amera phone. Those photos are very good.",negative,worst camera qualiti worst camera qualiti like megapixel camera photo worst slightli zoom photo see blurri previous use megapixel amera phone photo good,222,37,6,5.0,31,13,0,0,1,-0.836,[],0,10,3,5
No 5Ghz wifi band,"No 5Ghz wifi band on this mobile, miserable in 2021 , even my previous mobile of Samsung which I bought in 2017 have 5Ghz wifi , it's a big comedy",1,"No 5Ghz wifi band No 5Ghz wifi band on this mobile, miserable in 2021 , even my previous mobile of Samsung which I bought in 2017 have 5Ghz wifi , it's a big comedy",negative,ghz wifi band ghz wifi band mobil miser even previou mobil samsung bought ghz wifi big comedi,164,34,0,3.8529411764705883,26,13,0,0,1,-0.6249,[],0,7,2,4
